++
||
++
++


Similar words to addiction
expert count: 16088 | Novice has 1434 less
+-----------------------+------------+------------+------------+
|          Word         | Novice Pos | Expert Pos | Difference |
|        ritalin        |     77     |     57     |     20     |
|       migraines       |     78     |     50     |     28     |
|       overdosing      |     79     |     63     |     16     |
|        laudanum       |     80     |     77     |     3      |
|          drug         |     81     |     82     |     -1     |
|       impotence       |     82     |     55     |     27     |
|      psychedelics     |     83     |    108     |    -25     |
|        hangover       |     84     |     74     |     10     |
|        sobriety       |     85     |    134     |    -49     |
|          ocd          |     86     |     89     |     -3     |
|       alzheimers      |     87     |    131     |    -44     |
|         prozac        |     88     |     84     |     4      |
|       narcolepsy      |     89     |    110     |    -21     |
|       adolescent      |     90     |     71     |     19     |
|      codependency     |     91     |    102     |    -11     |
|         grief         |     92     |    113     |    -21     |
|       methadone       |     93     |    123     |    -30     |
|      insecurities     |     94     |     80     |     14     |
|     hypersexuality    |     95     |     98     |     -3     |
|         trauma        |     96     |    118     |    -22     |
|        ecstasy        |     97     |    128     |    -31     |
|    diacetylmorphine   |     98     |    167     |    -69     |
|         paxil         |     99     |    172     |    -73     |
|         phobia        |    100     |     75     |     25     |
|      compulsivity     |    101     |    109     |     -8     |
|        adderall       |    102     |     -      |     -      |
|        synanon        |    103     |    171     |    -68     |
|     antiepileptic     |    104     |     81     |     23     |
|      amphetamines     |    105     |     85     |     20     |
|        relapses       |    106     |     70     |     36     |
|         asthma        |    107     |     73     |     34     |
|         guilt         |    108     |     94     |     14     |
|        nervosa        |    109     |     97     |     12     |
|     hallucinations    |    110     |    120     |    -10     |
|        halcion        |    111     |     -      |     -      |
|      hypochondria     |    112     |     72     |     40     |
|          cure         |    113     |    144     |    -31     |
|        cocaine        |    114     |    153     |    -39     |
|       impotency       |    115     |     -      |     -      |
|       alcoholics      |    116     |    151     |    -35     |
|         zoloft        |    117     |    150     |    -33     |
|       affliction      |    118     |    173     |    -55     |
|        ketamine       |    119     |     -      |     -      |
|         janes         |    120     |     -      |     -      |
|    immunosupressive   |    121     |     -      |     -      |
|     psychosomatic     |    122     |    165     |    -43     |
| psychopharmacological |    123     |    170     |    -47     |
|       nootropic       |    124     |    142     |    -18     |
|        quaalude       |    125     |    117     |     8      |
|       medication      |    126     |    126     |     0      |
|        boredom        |    127     |     96     |     31     |
|      antithyroid      |    128     |     -      |     -      |
|        insanity       |    129     |    130     |     -1     |
|     claustrophobia    |    130     |     -      |     -      |
|          adhd         |    131     |     -      |     -      |
|          pain         |    132     |     87     |     45     |
|          aids         |    133     |    124     |     9      |
|       narcissism      |    134     |     -      |     -      |
|      megalomania      |    135     |     -      |     -      |
|       insecurity      |    136     |     -      |     -      |
|        inhalant       |    137     |     -      |     -      |
|         hoffan        |    138     |    184     |    -46     |
|       nightmares      |    139     |    132     |     7      |
|    methamphetamine    |    140     |     -      |     -      |
|       obsessions      |    141     |    105     |     36     |
|       oxycodone       |    142     |    143     |     -1     |
|        tourette       |    143     |    116     |     27     |
|        appetite       |    144     |    193     |    -49     |
|       benzedrine      |    145     |    149     |     -4     |
|      antiobesity      |    146     |     -      |     -      |
|       emotional       |    147     |    122     |     25     |
|       acrophobia      |    148     |     -      |     -      |
|        aversion       |    149     |    135     |     14     |
|       lindesmith      |    150     |    136     |     14     |
|       heartbreak      |    151     |     -      |     -      |
|        diabetes       |    152     |     68     |     84     |
|          mdma         |    153     |    179     |    -26     |
|       disulfiram      |    154     |    127     |     27     |
|      inebriation      |    155     |     -      |     -      |
|        dyslexia       |    156     |     -      |     -      |
|        chronic        |    157     |     92     |     65     |
|        bulimic        |    158     |     -      |     -      |
|      melancholia      |    159     |    155     |     4      |
|     schizophrenic     |    160     |    183     |    -23     |
|        binging        |    161     |    119     |     42     |
|          lsd          |    162     |    141     |     21     |
|         viagra        |    163     |     -      |     -      |
|       delusions       |    164     |    181     |    -17     |
|       alcoholic       |    165     |    139     |     26     |
|        sufferer       |    166     |     -      |     -      |
|       addictive       |    167     |    103     |     64     |
|       therapist       |    168     |    197     |    -29     |
|     homosexuality     |    169     |    159     |     10     |
|    psychostimulant    |    170     |    104     |     66     |
|      infertility      |    171     |    114     |     57     |
|        asperger       |    172     |    198     |    -26     |
|        relapsed       |    173     |     -      |     -      |
|      barbiturates     |    174     |     -      |     -      |
|       mysophobia      |    175     |     -      |     -      |
|     psychological     |    176     |    115     |     61     |
|        shyness        |    177     |    147     |     30     |
|         opioid        |    178     |     -      |     -      |
|       sedatives       |    179     |    146     |     33     |
|     posttraumatic     |    180     |    125     |     55     |
|        feelings       |    181     |     -      |     -      |
|      adolescence      |    182     |     -      |     -      |
|       pedophilia      |    183     |    169     |     14     |
|        snorting       |    184     |     -      |     -      |
|         cancer        |    185     |    137     |     48     |
|       frigidity       |    186     |     -      |     -      |
|      seasickness      |    187     |     -      |     -      |
|        therapy        |    188     |     -      |     -      |
|        dieting        |    189     |     -      |     -      |
|      glamorizing      |    190     |    199     |     -9     |
|     perfectionism     |    191     |    189     |     2      |
|       vampirism       |    192     |    111     |     81     |
|    neuroenhancement   |    193     |    158     |     35     |
|       pregnancy       |    194     |    140     |     54     |
|       traumatic       |    195     |     -      |     -      |
|        anorexic       |    196     |    188     |     8      |
|      thalidomide      |    197     |     -      |     -      |
|      drunkenness      |    198     |     -      |     -      |
|         crohn         |    199     |     -      |     -      |
|      cyclothymia      |    200     |     -      |     -      |
+-----------------------+------------+------------+------------+


Similar words to antidepressants
expert count: 1769 | Novice has 560 less
+--------------------+------------+------------+------------+
|        Word        | Novice Pos | Expert Pos | Difference |
+--------------------+------------+------------+------------+
|       ssris        |     1      |     1      |     0      |
|   antipsychotics   |     2      |     2      |     0      |
|  benzodiazepines   |     3      |     3      |     0      |
|  anticonvulsants   |     4      |     4      |     0      |
|     fluoxetine     |     5      |     5      |     0      |
|      opioids       |     6      |     6      |     0      |
|    haloperidol     |     7      |     8      |     -1     |
|       nsaids       |     8      |     7      |     1      |
|   chlorpromazine   |     9      |     23     |    -14     |
|   amitriptyline    |     10     |     36     |    -26     |
|     analgesics     |     11     |     18     |     -7     |
|     phenytoin      |     12     |     19     |     -7     |
|       snris        |     13     |     17     |     -4     |
|    risperidone     |     14     |     20     |     -6     |
|      statins       |     15     |     16     |     -1     |
|        ssri        |     16     |     11     |     5      |
|   metoclopramide   |     17     |     49     |    -32     |
|   antihistamines   |     18     |     27     |     -9     |
|     paroxetine     |     19     |     32     |    -13     |
|       maois        |     20     |     10     |     10     |
|     imipramine     |     21     |     29     |     -8     |
|     stimulants     |     22     |     12     |     10     |
|    anxiolytics     |     23     |     9      |     14     |
|      triptans      |     24     |     28     |     -4     |
|   carbamazepine    |     25     |     34     |     -9     |
|  corticosteroids   |     26     |     25     |     1      |
|     olanzapine     |     27     |     21     |     6      |
|  psychostimulants  |     28     |     24     |     4      |
|    barbiturates    |     29     |     39     |    -10     |
|     clonazepam     |     30     |     13     |     17     |
|    neuroleptics    |     31     |     14     |     17     |
|     gabapentin     |     32     |     44     |    -12     |
|      diazepam      |     33     |     26     |     7      |
|    venlafaxine     |     34     |     15     |     19     |
|  anticholinergics  |     35     |     30     |     5      |
|     bupropion      |     36     |     33     |     3      |
|     trazodone      |     37     |     56     |    -19     |
|     clozapine      |     38     |     41     |     -3     |
|   antidepressant   |     39     |     42     |     -3     |
|     sertraline     |     40     |     35     |     5      |
|    medications     |     41     |     22     |     19     |
|   antiandrogens    |     42     |     48     |     -6     |
|      zolpidem      |     43     |     86     |    -43     |
|     progestins     |     44     |     40     |     4      |
|      warfarin      |     45     |     43     |     2      |
|   phenobarbital    |     46     |     50     |     -4     |
|     citalopram     |     47     |     59     |    -12     |
|     primidone      |     48     |     76     |    -28     |
|     lorazepam      |     49     |     37     |     12     |
|  methylphenidate   |     50     |     53     |     -3     |
|   antipsychotic    |     51     |     31     |     20     |
|    antiemetics     |     52     |     68     |    -16     |
| immunosuppressants |     53     |     46     |     7      |
|     sedatives      |     54     |     64     |    -10     |
|   anticoagulants   |     55     |     66     |    -11     |
|     metformin      |     56     |     71     |    -15     |
|      ketamine      |     57     |     80     |    -23     |
|      atenolol      |     58     |    101     |    -43     |
|    methotrexate    |     59     |     70     |    -11     |
|  fluoroquinolones  |     60     |     92     |    -32     |
|    escitalopram    |     61     |     61     |     0      |
|     triazolam      |     62     |     55     |     7      |
|     ibuprofen      |     63     |     82     |    -19     |
|     duloxetine     |     64     |     60     |     4      |
|     pethidine      |     65     |    109     |    -44     |
|    ondansetron     |     66     |     93     |    -27     |
|    mirtazapine     |     67     |     79     |    -12     |
|     hypnotics      |     68     |     38     |     30     |
|    lamotrigine     |     69     |     57     |     12     |
|    propranolol     |     70     |     75     |     -5     |
|     alprazolam     |     71     |     63     |     8      |
|    azathioprine    |     72     |     97     |    -25     |
|     tamoxifen      |     73     |     85     |    -12     |
|     naltrexone     |     74     |     58     |     16     |
|     zopiclone      |     75     |    111     |    -36     |
|     nitrazepam     |     76     |    126     |    -50     |
|     amiodarone     |     77     |     88     |    -11     |
|    clomipramine    |     78     |     52     |     26     |
|      opiates       |     79     |     73     |     6      |
|  chlordiazepoxide  |     80     |     81     |     -1     |
|    ketoconazole    |     81     |     95     |    -14     |
|     prednisone     |     82     |     78     |     4      |
|  diphenhydramine   |     83     |     62     |     21     |
|    indomethacin    |     84     |     87     |     -3     |
|    clopidogrel     |     85     |    143     |    -58     |
|     quetiapine     |     86     |     45     |     41     |
|      aspirin       |     87     |    107     |    -20     |
|   buprenorphine    |     88     |     65     |     23     |
|     flutamide      |     89     |    105     |    -16     |
|    ciclosporin     |     90     |    146     |    -56     |
|    pioglitazone    |     91     |    136     |    -45     |
|      levodopa      |     92     |    116     |    -24     |
|     temazepam      |     93     |     94     |     -1     |
| antihypertensives  |     94     |     54     |     40     |
|     clonidine      |     95     |    104     |     -9     |
|     quinolones     |     96     |    114     |    -18     |
|     donepezil      |     97     |     74     |     23     |
|   spironolactone   |     98     |     84     |     14     |
|      naproxen      |     99     |     91     |     8      |
|     celecoxib      |    100     |     98     |     2      |
|   bromocriptine    |    101     |     89     |     12     |
|   acetaminophen    |    102     |    100     |     2      |
|     topiramate     |    103     |     69     |     34     |
|  glucocorticoids   |    104     |    124     |    -20     |
|   nortriptyline    |    105     |    148     |    -43     |
|    erythromycin    |    106     |    112     |     -6     |
|       statin       |    107     |    103     |     4      |
| nonbenzodiazepines |    108     |     72     |     36     |
|    orphenadrine    |    109     |    110     |     -1     |
|    promethazine    |    110     |     -      |     -      |
|  bisphosphonates   |    111     |    151     |    -40     |
|      pimozide      |    112     |     77     |     35     |
|     phenelzine     |    113     |    115     |     -2     |
|    moclobemide     |    114     |    140     |    -26     |
|    monotherapy     |    115     |    152     |    -37     |
|    paracetamol     |    116     |    102     |     14     |
|  cyclophosphamide  |    117     |    163     |    -46     |
|   flunitrazepam    |    118     |    121     |     -3     |
|        mdma        |    119     |    131     |    -12     |
|    fluvoxamine     |    120     |     47     |     73     |
|    progestogens    |    121     |     -      |     -      |
|    ziprasidone     |    122     |     90     |     32     |
|      rifampin      |    123     |    145     |    -22     |
|      agonists      |    124     |     67     |     57     |
|   dexamethasone    |    125     |    117     |     8      |
|    dutasteride     |    126     |     -      |     -      |
|    minocycline     |    127     |    128     |     -1     |
|   tetracyclines    |    128     |    127     |     1      |
|    finasteride     |    129     |     -      |     -      |
|     verapamil      |    130     |    108     |     22     |
|      baclofen      |    131     |    138     |     -7     |
|   antiepileptics   |    132     |    135     |     -3     |
|     diuretics      |    133     |    122     |     11     |
|     valproate      |    134     |    164     |    -30     |
|       serms        |    135     |     -      |     -      |
|    isotretinoin    |    136     |     -      |     -      |
|      oxazepam      |    137     |    150     |    -13     |
|      atropine      |    138     |    180     |    -42     |
| thiazolidinediones |    139     |    159     |    -20     |
|     sirolimus      |    140     |     -      |     -      |
|     omeprazole     |    141     |    181     |    -40     |
|        ppis        |    142     |    177     |    -35     |
|      tramadol      |    143     |    119     |     24     |
|     isoniazid      |    144     |    129     |     15     |
|    cabergoline     |    145     |    132     |     13     |
|    cyclosporine    |    146     |    185     |    -39     |
|    desipramine     |    147     |    149     |     -2     |
|     nilutamide     |    148     |     -      |     -      |
|    pentazocine     |    149     |     -      |     -      |
|    hydroxyzine     |    150     |    142     |     8      |
|    doxycycline     |    151     |     -      |     -      |
|   benzodiazepine   |    152     |    113     |     39     |
|     sildenafil     |    153     |    173     |    -20     |
|     nefazodone     |    154     |     -      |     -      |
|    simvastatin     |    155     |    194     |    -39     |
|     rifampicin     |    156     |    141     |     15     |
|     estrogens      |    157     |    156     |     1      |
|    aripiprazole    |    158     |     51     |    107     |
|   levetiracetam    |    159     |    176     |    -17     |
|     carbidopa      |    160     |    184     |    -24     |
|    sulfonamides    |    161     |    200     |    -39     |
|    antifungals     |    162     |    137     |     25     |
|     amlodipine     |    163     |     -      |     -      |
|     pregabalin     |    164     |     96     |     68     |
|     buspirone      |    165     |    120     |     45     |
|   phenothiazines   |    166     |     83     |     83     |
|     selegiline     |    167     |     -      |     -      |
|     cimetidine     |    168     |    158     |     10     |
|  tranylcypromine   |    169     |    172     |     -3     |
|   mycophenolate    |    170     |    162     |     8      |
|    vasodilators    |    171     |     -      |     -      |
|       zoloft       |    172     |     -      |     -      |
|    itraconazole    |    173     |    155     |     18     |
|    doxorubicin     |    174     |     -      |     -      |
|      doxepin       |    175     |     -      |     -      |
|  dextromethorphan  |    176     |    169     |     7      |
|   sulfonylureas    |    177     |    153     |     24     |
|     quinidine      |    178     |    161     |     17     |
|   ciprofloxacin    |    179     |    171     |     8      |
|       nsaid        |    180     |     -      |     -      |
|     inhibitors     |    181     |    174     |     7      |
|     tadalafil      |    182     |    165     |     17     |
|    atomoxetine     |    183     |    175     |     8      |
|      ritalin       |    184     |    125     |     59     |
|      zaleplon      |    185     |     -      |     -      |
|    amphetamines    |    186     |     -      |     -      |
|     loperamide     |    187     |     -      |     -      |
|       paxil        |    188     |    133     |     55     |
|    prednisolone    |    189     |     -      |     -      |
|    hydrocodone     |    190     |    139     |     51     |
|     medication     |    191     |    168     |     23     |
|    carisoprodol    |    192     |     -      |     -      |
|    ticlopidine     |    193     |     -      |     -      |
|    scopolamine     |    194     |     -      |     -      |
|    fenfluramine    |    195     |    157     |     38     |
|     mefloquine     |    196     |     -      |     -      |
|    domperidone     |    197     |     -      |     -      |
|     tacrolimus     |    198     |     -      |     -      |
|     nifedipine     |    199     |    193     |     6      |
|     piracetam      |    200     |    186     |     14     |
+--------------------+------------+------------+------------+


Similar words to brooding
expert count: 2289 | Novice has 6 less
+----------------+------------+------------+------------+
|      Word      | Novice Pos | Expert Pos | Difference |
+----------------+------------+------------+------------+
|     dreamy     |     1      |     2      |     -1     |
|  melancholic   |     2      |     1      |     1      |
|    languid     |     3      |     3      |     0      |
|     morose     |     4      |     5      |     -1     |
|   melancholy   |     5      |     4      |     1      |
|   languorous   |     6      |     14     |     -8     |
|    mournful    |     7      |     8      |     -1     |
|   lugubrious   |     8      |     11     |     -3     |
| introspective  |     9      |     7      |     2      |
|    wistful     |     10     |     9      |     1      |
|   foreboding   |     11     |     19     |     -8     |
|    pensive     |     12     |     6      |     6      |
|     somber     |     13     |     10     |     3      |
|     doomy      |     14     |     40     |    -26     |
|     sombre     |     15     |     15     |     0      |
|    menacing    |     16     |     13     |     3      |
|  atmospherics  |     17     |     28     |    -11     |
|    haunting    |     18     |     25     |     -7     |
|   seductive    |     19     |     30     |    -11     |
|     gloomy     |     20     |     12     |     8      |
|     sultry     |     21     |     17     |     4      |
|     angsty     |     22     |     26     |     -4     |
|    playful     |     23     |     16     |     7      |
|    sardonic    |     24     |     35     |    -11     |
|    ethereal    |     25     |     36     |    -11     |
|     cooing     |     26     |     21     |     5      |
|    soothing    |     27     |     27     |     0      |
|   plaintive    |     28     |     18     |     10     |
|     woozy      |     29     |     75     |    -46     |
| claustrophobic |     30     |     47     |    -17     |
|   ruminative   |     31     |     20     |     11     |
|     moans      |     32     |     53     |    -21     |
|    sensual     |     33     |     41     |     -8     |
|    girlish     |     34     |     48     |    -14     |
|  misanthropic  |     35     |     71     |    -36     |
|   quivering    |     36     |     43     |     -7     |
|    lovelorn    |     37     |     39     |     -2     |
|   anguished    |     38     |     23     |     15     |
|    growling    |     39     |     49     |    -10     |
|     creepy     |     40     |     66     |    -26     |
|    doleful     |     41     |     29     |     12     |
|     cheery     |     42     |     69     |    -27     |
|     shrill     |     43     |     60     |    -17     |
|    droning     |     44     |     46     |     -2     |
|   bombastic    |     45     |     65     |    -20     |
|    throaty     |     46     |     34     |     12     |
|   vocalizing   |     47     |     76     |    -29     |
|     sinewy     |     48     |     93     |    -45     |
|     mellow     |     49     |     70     |    -21     |
|    bombast     |     50     |    152     |    -102    |
|    warbling    |     51     |     31     |     20     |
|   beguiling    |     52     |     59     |     -7     |
|    twitchy     |     53     |    101     |    -48     |
|     bluesy     |     54     |     33     |     21     |
|     broody     |     55     |     74     |    -19     |
|     syrupy     |     56     |    166     |    -110    |
|     brassy     |     57     |     22     |     35     |
|    tuneless    |     58     |     79     |    -21     |
|     sludgy     |     59     |    136     |    -77     |
|    soulful     |     60     |     51     |     9      |
|     druggy     |     61     |     45     |     16     |
|      edgy      |     62     |     52     |     10     |
|   dreamlike    |     63     |     44     |     19     |
|     sullen     |     64     |     24     |     40     |
|    swooning    |     65     |     56     |     9      |
|    lurching    |     66     |     92     |    -26     |
|     quirky     |     67     |     81     |    -14     |
|     croon      |     68     |    123     |    -55     |
|   childlike    |     69     |     85     |    -16     |
|     raspy      |     70     |     87     |    -17     |
|   shrieking    |     71     |    126     |    -55     |
|   swaggering   |     72     |     67     |     5      |
|     weepy      |     73     |    164     |    -91     |
|  deliciously   |     74     |     61     |     13     |
|    keening     |     75     |     42     |     33     |
|    laconic     |     76     |     89     |    -13     |
|    snarling    |     77     |    115     |    -38     |
|   unsettling   |     78     |     38     |     40     |
|    sighing     |     79     |     62     |     17     |
|     dreary     |     80     |     99     |    -19     |
|   moodiness    |     81     |    142     |    -61     |
|   tremulous    |     82     |    139     |    -57     |
|    cloying     |     83     |     86     |     -3     |
|  disquieting   |     84     |     72     |     12     |
|     punchy     |     85     |     88     |     -3     |
|    sensuous    |     86     |     73     |     13     |
|  mesmerizing   |     87     |     58     |     29     |
|  overwrought   |     88     |     54     |     34     |
|  disorienting  |     89     |    102     |    -13     |
|   entrancing   |     90     |    129     |    -39     |
|     grungy     |     91     |     50     |     41     |
|   sensuality   |     92     |    108     |    -16     |
|     warble     |     93     |    117     |    -24     |
|     eerie      |     94     |     68     |     26     |
|   charmingly   |     95     |    119     |    -24     |
|   unnerving    |     96     |     32     |     64     |
|  disturbingly  |     97     |    113     |    -16     |
|     angst      |     98     |    106     |     -8     |
|  playfulness   |     99     |    140     |    -41     |
|    alluring    |    100     |     -      |     -      |
|    emoting     |    101     |     -      |     -      |
|  hypnotically  |    102     |     -      |     -      |
|   portentous   |    103     |     55     |     48     |
|     wails      |    104     |     83     |     21     |
|    lyricism    |    105     |     95     |     10     |
|   chattering   |    106     |     63     |     43     |
|     turgid     |    107     |     -      |     -      |
|   comforting   |    108     |     -      |     -      |
|    achingly    |    109     |     57     |     52     |
|     earthy     |    110     |     97     |     13     |
|   humorless    |    111     |    118     |     -7     |
|     whiny      |    112     |    132     |    -20     |
|     jaunty     |    113     |     77     |     36     |
|   nihilistic   |    114     |    168     |    -54     |
| voluptuousness |    115     |     94     |     21     |
|    crooning    |    116     |     64     |     52     |
|    gleeful     |    117     |    104     |     13     |
|   sublimely    |    118     |    178     |    -60     |
| sentimentality |    119     |     84     |     35     |
|    whispery    |    120     |    100     |     20     |
|   skittering   |    121     |    157     |    -36     |
|    plodding    |    122     |     -      |     -      |
|  frightening   |    123     |    158     |    -35     |
|     gritty     |    124     |    160     |    -36     |
|    twinkly     |    125     |     -      |     -      |
|     croons     |    126     |    191     |    -65     |
|   hauntingly   |    127     |     37     |     90     |
|   bellowing    |    128     |    190     |    -62     |
|    lilting     |    129     |     91     |     38     |
|    demented    |    130     |     -      |     -      |
|   shuddering   |    131     |     -      |     -      |
|     lithe      |    132     |    145     |    -13     |
|    balladry    |    133     |     98     |     35     |
|     twangy     |    134     |     -      |     -      |
|     demure     |    135     |    135     |     0      |
|  rambunctious  |    136     |    125     |     11     |
|   gloriously   |    137     |    156     |    -19     |
|     whimsy     |    138     |     78     |     60     |
|   weirdness    |    139     |     -      |     -      |
|    tuneful     |    140     |    114     |     26     |
|    riffing     |    141     |    173     |    -32     |
|    petulant    |    142     |    163     |    -21     |
|    weirdly     |    143     |     -      |     -      |
|    ominous     |    144     |    148     |     -4     |
|    noirish     |    145     |     -      |     -      |
|  hyperactive   |    146     |     -      |     -      |
| unrelentingly  |    147     |    110     |     37     |
|  nightmarish   |    148     |    179     |    -31     |
|   caressing    |    149     |     -      |     -      |
|     grimy      |    150     |    183     |    -33     |
|   phlegmatic   |    151     |    130     |     21     |
|    frenetic    |    152     |    112     |     40     |
|    surreal     |    153     |    172     |    -19     |
|    sweetly     |    154     |    109     |     45     |
|     droll      |    155     |    103     |     52     |
|     folky      |    156     |    141     |     15     |
|     gentle     |    157     |     82     |     75     |
|      wail      |    158     |    174     |    -16     |
|    shrieks     |    159     |     -      |     -      |
|     gloom      |    160     |     -      |     -      |
|    preening    |    161     |     -      |     -      |
|   shimmering   |    162     |    196     |    -34     |
|     hoarse     |    163     |    133     |     30     |
|  otherworldly  |    164     |     -      |     -      |
|    taciturn    |    165     |    137     |     28     |
|   stillness    |    166     |    185     |    -19     |
|  thrillingly   |    167     |    128     |     39     |
|    feverish    |    168     |    127     |     41     |
|     breezy     |    169     |     -      |     -      |
|    fidgety     |    170     |     -      |     -      |
|     folksy     |    171     |    120     |     51     |
|    pouting     |    172     |    161     |     11     |
|   maddening    |    173     |     -      |     -      |
|    hypnotic    |    174     |     -      |     -      |
|   annoyingly   |    175     |     -      |     -      |
|    whining     |    176     |     -      |     -      |
|    lyrical     |    177     |     -      |     -      |
|    breathy     |    178     |    181     |     -3     |
|     trippy     |    179     |     -      |     -      |
|   whimsical    |    180     |    193     |    -13     |
|   melodious    |    181     |    189     |     -8     |
|     darkly     |    182     |    184     |     -2     |
|    ghoulish    |    183     |    176     |     7      |
|  wistfulness   |    184     |     -      |     -      |
|     gooey      |    185     |     -      |     -      |
|   twittering   |    186     |     -      |     -      |
|      wry       |    187     |    171     |     16     |
|    guttural    |    188     |    149     |     39     |
|    cackles     |    189     |     -      |     -      |
|  extroverted   |    190     |    151     |     39     |
|    squeals     |    191     |     -      |     -      |
|     growl      |    192     |    153     |     39     |
|    edginess    |    193     |     -      |     -      |
|    moaning     |    194     |    167     |     27     |
|   impassive    |    195     |    144     |     51     |
|    jittery     |    196     |     -      |     -      |
|   monotonous   |    197     |    143     |     54     |
|     nervy      |    198     |     -      |     -      |
|    listless    |    199     |     -      |     -      |
|   bewitching   |    200     |     -      |     -      |
+----------------+------------+------------+------------+


Similar words to cbt
expert count: 1326 | Novice has 575 less
+---------------------+------------+------------+------------+
|         Word        | Novice Pos | Expert Pos | Difference |
+---------------------+------------+------------+------------+
|     biofeedback     |     1      |     5      |     -4     |
|         ect         |     2      |     18     |    -16     |
|    neurofeedback    |     3      |     34     |    -31     |
|  psychotherapeutic  |     4      |     10     |     -6     |
|         cimt        |     5      |     94     |    -89     |
|        statin       |     6      |     16     |    -10     |
|      sorafenib      |     7      |     40     |    -33     |
|    psychotherapy    |     8      |     1      |     7      |
|       regimens      |     9      |     73     |    -64     |
|         tbi         |     10     |    168     |    -158    |
|      bortezomib     |     11     |     11     |     0      |
|         mbct        |     12     |     2      |     10     |
|         iat         |     13     |    148     |    -135    |
|        bobath       |     14     |     19     |     -5     |
|     neuroimaging    |     15     |     72     |    -57     |
|      mammaprint     |     16     |     -      |     -      |
|     benchmarking    |     17     |    160     |    -143    |
|       clinical      |     18     |     28     |    -10     |
|     gemcitabine     |     19     |     76     |    -57     |
|     methotrexate    |     20     |     51     |    -31     |
|     preclinical     |     21     |    116     |    -95     |
|      metformin      |     22     |     20     |     2      |
|      manualized     |     23     |     50     |    -27     |
|      rituximab      |     24     |     32     |     -8     |
|      donepezil      |     25     |     62     |    -37     |
|         rcts        |     26     |     87     |    -61     |
|         adhd        |     27     |     9      |     18     |
|      naltrexone     |     28     |     24     |     4      |
